Name,Disaster,Begin_Date,End_Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,State
Western Severe Storms and Flooding (February 1986),Severe Storm,2/14/86,2/16/86,1462.3,13,CA
Western Severe Storms and Flooding (February 1986),Severe Storm,2/14/86,2/16/86,0,0,CO
Western Severe Storms and Flooding (February 1986),Severe Storm,2/14/86,2/16/86,0,0,NV
Western Severe Storms and Flooding (February 1986),Severe Storm,2/14/86,2/16/86,0,0,OR
Western Severe Storms and Flooding (February 1986),Severe Storm,2/14/86,2/16/86,0,0,WY
Southeast Drought/Heat Wave (Summer 1986),Drought,6/1/86,8/31/86,4960.1,100,AL
Southeast Drought/Heat Wave (Summer 1986),Drought,6/1/86,8/31/86,0,0,AR
Southeast Drought/Heat Wave (Summer 1986),Drought,6/1/86,8/31/86,0,0,GA
Southeast Drought/Heat Wave (Summer 1986),Drought,6/1/86,8/31/86,0,0,LA
Southeast Drought/Heat Wave (Summer 1986),Drought,6/1/86,8/31/86,0,0,MS
Southeast Drought/Heat Wave (Summer 1986),Drought,6/1/86,8/31/86,0,0,NC
Southeast Drought/Heat Wave (Summer 1986),Drought,6/1/86,8/31/86,0,0,SC
Southeast Drought/Heat Wave (Summer 1986),Drought,6/1/86,8/31/86,0,0,TN
Southeast Drought/Heat Wave (Summer 1986),Drought,6/1/86,8/31/86,0,0,VA
Michigan Flooding (September 1986),Flooding,9/10/86,9/12/86,1096,10,MI
U.S. Drought/Heat Wave (Summer 1988),Drought,6/1/88,8/31/88,52210.4,454,CA
U.S. Drought/Heat Wave (Summer 1988),Drought,6/1/88,8/31/88,0,0,FL
U.S. Drought/Heat Wave (Summer 1988),Drought,6/1/88,8/31/88,0,0,TX
Southern Derecho and Severe Storms (May 1989),Severe Storm,5/1/89,5/6/89,1345.7,21,OK
Southern Derecho and Severe Storms (May 1989),Severe Storm,5/1/89,5/6/89,0,0,TX
Southern Derecho and Severe Storms (May 1989),Severe Storm,5/1/89,5/6/89,0,0,LA
Southern Derecho and Severe Storms (May 1989),Severe Storm,5/1/89,5/6/89,0,0,MS
Southern Derecho and Severe Storms (May 1989),Severe Storm,5/1/89,5/6/89,0,0,GA
Southern Derecho and Severe Storms (May 1989),Severe Storm,5/1/89,5/6/89,0,0,SC
Southern Derecho and Severe Storms (May 1989),Severe Storm,5/1/89,5/6/89,0,0,NC
Southern Derecho and Severe Storms (May 1989),Severe Storm,5/1/89,5/6/89,0,0,VA
Tropical Storm Allison (June 1989),Tropical Cyclone,6/26/89,6/28/89,1421.6,11,TX
Tropical Storm Allison (June 1989),Tropical Cyclone,6/26/89,6/28/89,0,0,LA
Hurricane Hugo (September 1989),Tropical Cyclone,9/21/89,9/22/89,21689.8,86,SC
Hurricane Hugo (September 1989),Tropical Cyclone,9/21/89,9/22/89,0,0,NC
Northern Plains Drought (Summer-Fall 1989),Drought,6/1/89,11/30/89,7477.9,0,CO
Northern Plains Drought (Summer-Fall 1989),Drought,6/1/89,11/30/89,0,0,IA
Northern Plains Drought (Summer-Fall 1989),Drought,6/1/89,11/30/89,0,0,IL
Northern Plains Drought (Summer-Fall 1989),Drought,6/1/89,11/30/89,0,0,KS
Northern Plains Drought (Summer-Fall 1989),Drought,6/1/89,11/30/89,0,0,MO
Northern Plains Drought (Summer-Fall 1989),Drought,6/1/89,11/30/89,0,0,ND
Northern Plains Drought (Summer-Fall 1989),Drought,6/1/89,11/30/89,0,0,NE
Northern Plains Drought (Summer-Fall 1989),Drought,6/1/89,11/30/89,0,0,NV
Northern Plains Drought (Summer-Fall 1989),Drought,6/1/89,11/30/89,0,0,SD
Northern Plains Drought (Summer-Fall 1989),Drought,6/1/89,11/30/89,0,0,TX
Northern Plains Drought (Summer-Fall 1989),Drought,6/1/89,11/30/89,0,0,UT
Florida Freeze (December 1989),Freeze,12/23/89,12/25/89,4980,10,FL
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,1625.5,100,AL
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,AR
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,CT
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,FL
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,GA
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,IL
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,IN
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,KY
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,LA
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,ME
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,MO
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,MS
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,NC
"Winter Storm, Cold Wave (December 1989)",Winter Storm,12/21/89,12/26/89,0,0,NH
